klinikk_id,kjede,klinikk_navn,adresse,postnummer,by,klinikk_url,prisliste_url,helsesmart_url,prisliste_struktur,notes
odontia__oslo_sentrum,odontia,Odontia Oslo Sentrum,Skippergata 33,0154,Oslo,https://odontia.no/tannlege/oslo-sentrum,https://odontia.no/prisliste/tannlege-oslo-sentrum/,,per_klinikk,
odontia__molde,odontia,Odontia Molde,Verftsgata 10,6416,Molde,https://odontia.no/tannlege/molde,https://odontia.no/prisliste/tannlege-molde/,,per_klinikk,
odontia__hoenefoss,odontia,Odontia Hønefoss,Storgata 19,3510,Hønefoss,https://odontia.no/tannlege/honefoss,https://odontia.no/prisliste/honefoss/,,per_klinikk,
colosseum__central,colosseum,Colosseum (sentral prisliste),,,,,https://colosseumtannlege.no/priser-tannlegebehandling/,,sentral,
colosseum__majorstuen,colosseum,Colosseum Majorstuen tannlege,Sørkedalsveien 10C,0369,Oslo,https://colosseumtannlege.no/klinikker/oslo/majorstuen/majorstuen-tannlege/,https://colosseumtannlege.no/priser-tannlegebehandling/,https://www.helsesmart.no/klinikk/colosseum-tannlege-majorstuen-12541/priser/,peker_på_sentral,
colosseum__stortingsgata,colosseum,Colosseum Stortingsgata,Sentrum,0161,Oslo,https://colosseumtannlege.no/klinikker/oslo/nationaltheatret/stortingsgata/,https://colosseumtannlege.no/priser-tannlegebehandling/,,peker_på_sentral,
colosseum__bergen_wallendahl,colosseum,Colosseum Wallendahl (Bergen),Bergenhus,5013,Bergen,https://colosseumtannlege.no/klinikker/vestland/bergen/wallendahl/,https://colosseumtannlege.no/priser-tannlegebehandling/,,peker_på_sentral,
colosseum__trondheim_innherredsveien,colosseum,Colosseum Innherredsveien (Trondheim),Innherredsveien 7a,7014,Trondheim,https://colosseumtannlege.no/klinikker/trondelag/trondheim/innherredsveien/,https://colosseumtannlege.no/priser-tannlegebehandling/,,peker_på_sentral,
colosseum__stavanger_sentrum,colosseum,Colosseum Stavanger Sentrum,St. Olavs Gate 7,4005,Stavanger,https://colosseumtannlege.no/klinikker/rogaland/stavanger/sentrum/,https://colosseumtannlege.no/priser-tannlegebehandling/,,peker_på_sentral,
oris__central,oris,Oris Dental (sentral prisliste),,,,,https://orisdental.no/prisliste,,sentral,
oris__aker_brygge,oris,Oris Aker Brygge,"""address"":""Grundingen 6",0250,Oslo,https://orisdental.no/klinikker/aker-brygge,https://orisdental.no/prisliste,,peker_på_sentral,
oris__bodo,oris,Oris Bodø,"""address"":""Dronningensgate 102",8006,Bodø,https://orisdental.no/klinikker/bodo,https://orisdental.no/prisliste,,peker_på_sentral,
oris__arendal,oris,Oris Arendal,"""address"":""Torvet 10",4836,Arendal,https://orisdental.no/klinikker/arendal,https://orisdental.no/prisliste,,peker_på_sentral,
oris__arken_asane,oris,Oris Arken Åsane (Bergen),"""address"":""Åsane Senter 37",5116,UIset,https://orisdental.no/klinikker/arken-asane,https://orisdental.no/prisliste,,peker_på_sentral,
oc__tannlegesenteret_taasen,oc,OC Tannlegesenteret – Oslo (Tåsen),Bergrådveien 13,0873,Oslo,https://www.octannklinikker.no/klinikker/oc-tannlegesenteret/,https://www.octannklinikker.no/klinikker/oc-tannlegesenteret/,,per_klinikk,
oc__bergen_nord,oc,OC Bergen Nord Tannhelsesenter,Åsamyrane 90,5116,Ulset,https://www.octannklinikker.no/klinikker/oc-bergen-nord-tannhelsesenter/,https://www.octannklinikker.no/klinikker/oc-bergen-nord-tannhelsesenter/,,per_klinikk,
oc__festningen,oc,OC Festningen Tannklinikk,Nedre Vollgt.1,0158,Oslo,https://www.octannklinikker.no/klinikker/oc-festningen-tannklinikk/,https://www.octannklinikker.no/klinikker/oc-festningen-tannklinikk/,,per_klinikk,
oc__torget_drammen,oc,OC Torget Tannlegesenter,Hauges gate 1,3019,Drammen,https://www.octannklinikker.no/klinikker/oc-torget-tannlegesenter/,https://www.octannklinikker.no/klinikker/oc-torget-tannlegesenter/,,per_klinikk,
oc__malmbryggen_arendal,oc,OC Malmbryggen Tannklinikk,Vestregate 2,4836,Arendal,https://www.octannklinikker.no/klinikker/oc-malmbryggen-tannklinikk/,https://www.octannklinikker.no/klinikker/oc-malmbryggen-tannklinikk/,,per_klinikk,
oc__klette_og_race_moss,oc,OC Tannlegene Klette og Race,Dronningensgate 17,1530,Moss,https://www.octannklinikker.no/klinikker/oc-tannlegene-klette-og-race/,https://www.octannklinikker.no/klinikker/oc-tannlegene-klette-og-race/,,per_klinikk,
oc__gimle_kristiansand,oc,OC Gimle Tannhelsesenter,Universitetsveien 3b,4630,Kristiansand,https://www.octannklinikker.no/klinikker/oc-gimle-tannhelsesenter/,https://www.octannklinikker.no/klinikker/oc-gimle-tannhelsesenter/,,per_klinikk,
oc__dronningens_kristiansand,oc,OC Dronningens Tannlegesenter,Dronningensgt. 4,4610,Kristiansand,https://www.octannklinikker.no/klinikker/oc-dronningens-tannlegesenter/,https://www.octannklinikker.no/klinikker/oc-dronningens-tannlegesenter/,,per_klinikk,
oc__markens_kristiansand,oc,OC Markens Tannlegesenter,Markens gate 42,4612,Kristiansand,https://www.octannklinikker.no/klinikker/oc-markens-tannlegesenter/,https://www.octannklinikker.no/klinikker/oc-markens-tannlegesenter/,,per_klinikk,
oc__gyldenloevesgate_kristiansand,oc,OC Tannlegene i Gyldenløvesgate,Gyldenløves gate 5,4611,Kristiansand,https://www.octannklinikker.no/klinikker/oc-tannlegene-i-gyldenlovesgate/,https://www.octannklinikker.no/klinikker/oc-tannlegene-i-gyldenlovesgate/,,per_klinikk,
oc__kolbotn,oc,OC Kolbotn Tannhelse,Ingierveien 6,1410,Kolbotn,https://www.octannklinikker.no/klinikker/oc-kolbotn-tannhelse/,https://www.octannklinikker.no/klinikker/oc-kolbotn-tannhelse/,,per_klinikk,
oc__bergen_storsenter,oc,OC Bergen Storsenter Tannlegepraksis,Thon Senter Bergen,5015,Bergen,https://www.octannklinikker.no/klinikker/oc-bergen-storsenter-tannlegepraksis/,https://www.octannklinikker.no/klinikker/oc-bergen-storsenter-tannlegepraksis/,,per_klinikk,
oc__skien,oc,OC Skien Tannhelse,Nedre Hjellegate 2,3724,Skien,https://www.octannklinikker.no/klinikker/oc-skien-tannhelse/,https://www.octannklinikker.no/klinikker/oc-skien-tannhelse/,,per_klinikk,
oc__iristannlegene,oc,OC Iristannlegene,Hamnevegen 48,5200,Osøyro,https://www.octannklinikker.no/klinikker/iristannlegene/,https://www.octannklinikker.no/klinikker/iristannlegene/,,per_klinikk,
odontia__aas,odontia,Odontia Aas,3.etg,1430,Ås,https://odontia.no/tannlege/aas,https://odontia.no/prisliste/tannlege-as,,per_klinikk,
odontia__asker,odontia,Odontia Asker,Torvveien 12,1383,Asker,https://odontia.no/tannlege/asker,https://odontia.no/prisliste/tannlege-asker/,,per_klinikk,
odontia__askim,odontia,Odontia Askim,Rådhusgata 23,1830,Askim,https://odontia.no/tannlege/askim,https://odontia.no/prisliste/prisliste-tannlege-askim/,,per_klinikk,
odontia__brumunddal,odontia,Odontia Brumunddal,Nygata 9,2380,Brumunddal,https://odontia.no/tannlege/brumunddal,https://odontia.no/prisliste/tannlege-brumunddal/,,per_klinikk,
odontia__drammen,odontia,Odontia Drammen,Torgeir Vraas Plass 6,3044,Drammen,https://odontia.no/tannlege/drammen,https://odontia.no/prisliste/tannlege-drammen/,,per_klinikk,
odontia__hamar,odontia,Odontia Hamar,Torggata 1,2317,Hamar,https://odontia.no/tannlege/hamar,https://odontia.no/prisliste/tannlege-hamar/,,per_klinikk,
odontia__honefoss,odontia,Odontia Honefoss,Storgata 19,3510,Hønefoss,https://odontia.no/tannlege/honefoss,https://odontia.no/prisliste/honefoss/,,per_klinikk,
odontia__hov,odontia,Odontia Hov,Sentrumsvegen 3,2860,Hov,https://odontia.no/tannlege/hov,https://odontia.no/prisliste/tannlege-hov/,,per_klinikk,
odontia__kristiansund,odontia,Odontia Kristiansund,,,,https://odontia.no/tannlege/kristiansund,https://odontia.no/prisliste/tannlege-kristiansund/,,per_klinikk,
odontia__kvernberget_kristiansund,odontia,Odontia Kvernberget Kristiansund,Rørgata 8,6517,Kristiansund,https://odontia.no/tannlege/kvernberget-kristiansund,https://odontia.no/prisliste/tannlege-kvernberget/,,per_klinikk,
odontia__larvik,odontia,Odontia Larvik,Prinsegata 3-5,3256,Larvik,https://odontia.no/tannlege/larvik,https://odontia.no/prisliste/tannlege-larvik/,,per_klinikk,
odontia__lillehammer_lilletorget,odontia,Odontia Lillehammer Lilletorget,Storgata 89,2615,Lillehammer,https://odontia.no/tannlege/lillehammer-lilletorget,https://odontia.no/prisliste/tannlege-lillehammer-lilletorget/,,per_klinikk,
odontia__lillehammer_tannhelse,odontia,Odontia Lillehammer Tannhelse,Nymosvingen 6,2609,Lillehammer,https://odontia.no/tannlege/lillehammer-tannhelse,https://odontia.no/prisliste/tannlege-lillehammer-tannhelse/,,per_klinikk,
odontia__lyngdal,odontia,Odontia Lyngdal,Kirkeveien 17,4580,Lyngdal,https://odontia.no/tannlege/lyngdal,https://odontia.no/prisliste/tannlege-lyngdal/,,per_klinikk,
odontia__moss_walle,odontia,Odontia Moss Walle,Gudes gate 1 B,1530,Moss,https://odontia.no/tannlege/moss-walle,https://odontia.no/prisliste/tannlege-moss-sentrum/,,per_klinikk,
odontia__oslo_stovner,odontia,Odontia Oslo Stovner,Stovner Senter 7,0985,Oslo,https://odontia.no/tannlege/oslo-stovner,https://odontia.no/prisliste/tannlege-stovner/,,per_klinikk,
odontia__oslo_ulleval,odontia,Odontia Oslo Ulleval,Kirkeveien 166,0450,Oslo,https://odontia.no/tannlege/oslo-ulleval,https://odontia.no/prisliste/tannlege-ulleval/,,per_klinikk,
odontia__roa,odontia,Odontia Roa,Vækerøveien 205A,0751,Oslo,https://odontia.no/tannlege/roa,https://odontia.no/prisliste/tannlege-roa/,,per_klinikk,
odontia__sandefjord,odontia,Odontia Sandefjord,Aagaards Plass 1,3211,Sandefjord,https://odontia.no/tannlege/sandefjord,https://odontia.no/prisliste/tannlege-sandefjord/,,per_klinikk,
